(u'480 502 0', 1506432410.016505, 1230)
(u'453 499 0', 1506432410.034706, 1231)
(u'467 497 0', 1506432410.052695, 1232)
(u'484 496 0', 1506432410.070644, 1233)
(u'470 494 0', 1506432410.088599, 1234)
(u'478 493 0', 1506432410.10684, 1235)
(u'522 507 0', 1506432410.12439, 1236)
(u'536 521 0', 1506432410.142674, 1237)
(u'563 542 0', 1506432410.16085, 1238)
(u'622 582 0', 1506432410.178676, 1239)
(u'643 612 0', 1506432410.197201, 1240)
(u'623 617 0', 1506432410.214693, 1241)
(u'631 624 0', 1506432410.232654, 1242)
(u'631 627 0', 1506432410.250486, 1243)
(u'587 625 0', 1506432410.268621, 1244)
(u'564 621 0', 1506432410.28664, 1245)
(u'555 617 0', 1506432410.304707, 1246)
(u'518 612 0', 1506432410.322724, 1247)
(u'488 605 0', 1506432410.340712, 1248)
(u'502 599 0', 1506432410.358838, 1249)
(u'497 593 0', 1506432410.376859, 1250)
(u'466 586 0', 1506432410.394647, 1251)
(u'476 580 0', 1506432410.412696, 1252)
(u'498 575 0', 1506432410.430841, 1253)
(u'481 570 0', 1506432410.448729, 1254)
(u'482 565 0', 1506432410.466698, 1255)
(u'519 562 0', 1506432410.484709, 1256)
(u'505 559 0', 1506432410.502472, 1257)
(u'486 555 0', 1506432410.520549, 1258)
(u'516 553 0', 1506432410.538571, 1259)
(u'517 551 0', 1506432410.556737, 1260)
(u'479 547 0', 1506432410.574595, 1261)
(u'486 543 0', 1506432410.592698, 1262)
(u'502 540 0', 1506432410.610719, 1263)
(u'479 536 0', 1506432410.628748, 1264)
(u'470 532 0', 1506432410.647048, 1265)
(u'493 530 0', 1506432410.664734, 1266)
(u'477 527 0', 1506432410.682656, 1267)
(u'454 523 0', 1506432410.700715, 1268)
(u'477 520 0', 1506432410.718509, 1269)
(u'479 517 0', 1506432410.736672, 1270)
(u'452 513 0', 1506432410.754855, 1271)
(u'471 510 0', 1506432410.77279, 1272)
(u'490 509 0', 1506432410.790788, 1273)
(u'469 507 0', 1506432410.808858, 1274)
(u'465 504 0', 1506432410.826833, 1275)
(u'483 502 0', 1506432410.844872, 1276)
(u'473 500 0', 1506432410.862746, 1277)
(u'459 497 0', 1506432410.880623, 1278)
(u'481 496 0', 1506432410.89875, 1279)
(u'485 495 0', 1506432410.916691, 1280)
(u'465 493 0', 1506432410.934702, 1281)
(u'498 495 0', 1506432410.952739, 1282)
(u'544 519 0', 1506432410.970746, 1283)
(u'572 545 0', 1506432410.988717, 1284)
(u'600 572 0', 1506432411.006697, 1285)
(u'643 607 0', 1506432411.024727, 1286)
(u'633 620 0', 1506432411.042866, 1287)
(u'613 619 0', 1506432411.060895, 1288)
(u'629 624 0', 1506432411.079569, 1289)
(u'588 622 0', 1506432411.097221, 1290)
(u'549 618 0', 1506432411.114705, 1291)
(u'538 614 0', 1506432411.132595, 1292)
(u'532 609 0', 1506432411.150505, 1293)
(u'495 603 0', 1506432411.168718, 1294)
(u'482 596 0', 1506432411.186586, 1295)
(u'502 591 0', 1506432411.204716, 1296)
(u'493 586 0', 1506432411.222757, 1297)
(u'477 580 0', 1506432411.240605, 1298)
(u'504 576 0', 1506432411.258567, 1299)
(u'510 572 0', 1506432411.276686, 1300)
(u'488 567 0', 1506432411.294599, 1301)
(u'506 563 0', 1506432411.31264, 1302)
(u'535 561 0', 1506432411.331025, 1303)
(u'515 558 0', 1506432411.348725, 1304)
(u'509 555 0', 1506432411.366744, 1305)
(u'532 553 0', 1506432411.384739, 1306)
(u'513 551 0', 1506432411.402771, 1307)
(u'495 548 0', 1506432411.420548, 1308)
(u'513 546 0', 1506432411.438736, 1309)
(u'506 544 0', 1506432411.456582, 1310)
(u'467 540 0', 1506432411.474668, 1311)
(u'470 536 0', 1506432411.492784, 1312)
(u'480 533 0', 1506432411.510743, 1313)
(u'458 529 0', 1506432411.528713, 1314)
